"Date","Time","Open","High","Low","Close","Total Ticks"
07-08-2012,21:00:00,1.02133,1.02133,1.0155,1.02095,70004
07-09-2012,21:00:00,1.02095,1.02453,1.01608,1.01932,74424
07-10-2012,21:00:00,1.01932,1.02813,1.01796,1.02531,77185
07-11-2012,21:00:00,1.02531,1.02603,1.01003,1.01399,83184
07-12-2012,21:00:00,1.01399,1.02376,1.0123,1.02328,73378
07-15-2012,21:00:00,1.02328,1.02549,1.02048,1.0207,28259
07-16-2012,21:00:00,1.0207,1.03195,1.0207,1.0318,74841
07-17-2012,21:00:00,1.0318,1.03738,1.02888,1.03647,78994
07-18-2012,21:00:00,1.03647,1.04442,1.03572,1.04297,80656
07-19-2012,21:00:00,1.04297,1.04314,1.03631,1.03805,74286
07-22-2012,21:00:00,1.03805,1.03805,1.02438,1.02609,94788
07-23-2012,21:00:00,1.02609,1.03165,1.02155,1.02244,102999
07-24-2012,21:00:00,1.02244,1.03371,1.01771,1.03173,107357
07-25-2012,21:00:00,1.03173,1.04226,1.0292,1.03984,119340
07-26-2012,21:00:00,1.03984,1.04898,1.03844,1.0489,125082
07-29-2012,21:00:00,1.0489,1.05083,1.04496,1.05016,87282
07-30-2012,21:00:00,1.05016,1.05383,1.0489,1.0505,101705
07-31-2012,21:00:00,1.0505,1.05427,1.04479,1.04631,104134
08-01-2012,21:00:00,1.04631,1.05807,1.04363,1.0468,129763
08-02-2012,21:00:00,1.0468,1.05709,1.0446,1.05688,108724
08-05-2012,21:00:00,1.05688,1.05936,1.0537,1.05722,80878
08-06-2012,21:00:00,1.05722,1.06035,1.05481,1.05543,79030
08-07-2012,21:00:00,1.05543,1.05828,1.05308,1.05749,84480
08-08-2012,21:00:00,1.05749,1.06135,1.05535,1.05811,90338
08-09-2012,21:00:00,1.05811,1.05849,1.04976,1.05782,85444
08-12-2012,21:00:00,1.05782,1.05782,1.0497,1.05197,75366
08-13-2012,21:00:00,1.05197,1.05413,1.04806,1.04921,82781
08-14-2012,21:00:00,1.04921,1.05147,1.04552,1.05077,62759
08-15-2012,21:00:00,1.05077,1.05258,1.0475,1.05131,67390
08-16-2012,21:00:00,1.05131,1.05292,1.04113,1.04231,68133
08-19-2012,21:00:00,1.04231,1.04688,1.04191,1.04469,57995
08-20-2012,21:00:00,1.04469,1.05208,1.0442,1.04895,68425
08-21-2012,21:00:00,1.04895,1.05178,1.04135,1.05077,82615
08-22-2012,21:00:00,1.05077,1.05453,1.0436,1.04439,78277
08-23-2012,21:00:00,1.04439,1.04475,1.0376,1.04065,73259
08-26-2012,21:00:00,1.04065,1.04328,1.03673,1.03722,49368
08-27-2012,21:00:00,1.03722,1.03898,1.03454,1.03792,64509
08-28-2012,21:00:00,1.03792,1.03983,1.03496,1.03522,56101
08-29-2012,21:00:00,1.03522,1.03549,1.02766,1.02922,62900
08-30-2012,21:00:00,1.02922,1.03552,1.02785,1.03308,80605
09-02-2012,21:00:00,1.03308,1.03308,1.02327,1.02531,46151
09-03-2012,21:00:00,1.02531,1.02873,1.02154,1.02284,73410
09-04-2012,21:00:00,1.02284,1.02317,1.01667,1.01972,83664
09-05-2012,21:00:00,1.01972,1.03024,1.01677,1.02939,90428
09-06-2012,21:00:00,1.02939,1.04008,1.02765,1.03892,85928
09-09-2012,21:00:00,1.03892,1.03892,1.0333,1.03362,53885
09-10-2012,21:00:00,1.03362,1.04495,1.03233,1.04339,69912
09-11-2012,21:00:00,1.04339,1.0506,1.04275,1.04681,83013
09-12-2012,21:00:00,1.04681,1.05682,1.04291,1.05461,92886
09-13-2012,21:00:00,1.05461,1.06247,1.0531,1.05523,91922
09-16-2012,21:00:00,1.05523,1.05612,1.04551,1.04766,73624
09-17-2012,21:00:00,1.04766,1.04868,1.04104,1.0458,85061
09-18-2012,21:00:00,1.0458,1.04973,1.04181,1.04802,78192
09-19-2012,21:00:00,1.04802,1.04833,1.03678,1.04347,91489
09-20-2012,21:00:00,1.04347,1.05191,1.04255,1.0457,86471
09-23-2012,21:00:00,1.0457,1.04669,1.03864,1.04245,65100
09-24-2012,21:00:00,1.04245,1.04626,1.03812,1.03909,78596
09-25-2012,21:00:00,1.03909,1.03965,1.03289,1.03707,86143
09-26-2012,21:00:00,1.03707,1.0459,1.03648,1.04428,87044
09-27-2012,21:00:00,1.04428,1.04741,1.03662,1.0384,92524
09-30-2012,21:00:00,1.0384,1.04032,1.03264,1.03646,82204
10-01-2012,21:00:00,1.03646,1.03764,1.02521,1.02662,92983
10-02-2012,21:00:00,1.02662,1.02688,1.01965,1.02175,80624
10-03-2012,21:00:00,1.02175,1.0273,1.01825,1.02427,83738
10-04-2012,21:00:00,1.02427,1.02747,1.01525,1.01823,70741
10-07-2012,21:00:00,1.01823,1.02197,1.01499,1.01925,65071
10-08-2012,21:00:00,1.01925,1.02474,1.01757,1.02057,79974
10-09-2012,21:00:00,1.02057,1.0263,1.01833,1.02356,78762
10-10-2012,21:00:00,1.02356,1.02939,1.021,1.02641,78880
10-11-2012,21:00:00,1.02641,1.029,1.02169,1.02325,72527
10-14-2012,21:00:00,1.02325,1.0261,1.02026,1.0254,77593
10-15-2012,21:00:00,1.0254,1.0289,1.02438,1.02763,67592
10-16-2012,21:00:00,1.02763,1.03889,1.0273,1.03825,76535
10-17-2012,21:00:00,1.03825,1.04113,1.03561,1.03663,75761
10-18-2012,21:00:00,1.03663,1.03829,1.03181,1.03334,60401
10-21-2012,21:00:00,1.03334,1.03395,1.02969,1.0323,60484
10-22-2012,21:00:00,1.0323,1.03387,1.02363,1.02661,69371
10-23-2012,21:00:00,1.02661,1.03669,1.0258,1.03571,75123
10-24-2012,21:00:00,1.03571,1.03974,1.03321,1.03484,66085
10-25-2012,21:00:00,1.03484,1.03861,1.03057,1.03752,68801
10-28-2012,21:00:00,1.03752,1.03752,1.0327,1.03327,38818
10-29-2012,21:00:00,1.03327,1.0384,1.03259,1.03655,33049
10-30-2012,21:00:00,1.03655,1.03994,1.0353,1.03774,54126
10-31-2012,21:00:00,1.03774,1.041,1.03556,1.04012,56637
11-01-2012,21:00:00,1.04012,1.04195,1.03313,1.03395,66144
11-04-2012,22:00:00,1.03395,1.03708,1.03347,1.0366,48149
11-05-2012,22:00:00,1.0366,1.04475,1.03652,1.04344,58695
11-06-2012,22:00:00,1.04344,1.04805,1.04005,1.04137,88008
11-07-2012,22:00:00,1.04137,1.04432,1.03896,1.04061,73260
11-08-2012,22:00:00,1.04061,1.04352,1.03595,1.03842,67651
11-11-2012,22:00:00,1.03842,1.04403,1.03842,1.04278,43075
11-12-2012,22:00:00,1.04278,1.04463,1.03971,1.04379,59242
11-13-2012,22:00:00,1.04379,1.0459,1.0367,1.0377,59220
11-14-2012,22:00:00,1.0377,1.0387,1.03074,1.0334,69580
11-15-2012,22:00:00,1.0334,1.03519,1.02877,1.03418,65954
11-18-2012,22:00:00,1.03418,1.04178,1.03418,1.04137,51885
11-19-2012,22:00:00,1.04137,1.04249,1.03577,1.03889,54388
11-20-2012,22:00:00,1.03889,1.03943,1.03384,1.03695,59944
11-21-2012,22:00:00,1.03695,1.04016,1.03527,1.03906,35413
11-22-2012,22:00:00,1.03906,1.0471,1.03763,1.04671,48077
11-25-2012,22:00:00,1.04671,1.04681,1.04392,1.0465,46339
11-26-2012,22:00:00,1.0465,1.04901,1.04361,1.04471,57983
11-27-2012,22:00:00,1.04471,1.04819,1.04276,1.04776,61441
11-28-2012,22:00:00,1.04776,1.04804,1.04183,1.04366,57442
11-29-2012,22:00:00,1.04366,1.04474,1.04028,1.04296,56225
12-02-2012,22:00:00,1.04296,1.04466,1.03935,1.04211,49512
12-03-2012,22:00:00,1.04211,1.04847,1.0411,1.04725,56071
12-04-2012,22:00:00,1.04725,1.04849,1.04423,1.04571,50838
12-05-2012,22:00:00,1.04571,1.05155,1.04415,1.04863,55580
12-06-2012,22:00:00,1.04863,1.04969,1.04601,1.04881,47502
12-09-2012,22:00:00,1.04881,1.05057,1.04657,1.04887,38209
12-10-2012,22:00:00,1.04887,1.05325,1.04619,1.05292,39527
12-11-2012,22:00:00,1.05292,1.05856,1.05234,1.05546,48145
12-12-2012,22:00:00,1.05546,1.05636,1.05089,1.05282,41452
12-13-2012,22:00:00,1.05282,1.05778,1.05105,1.05678,41447
12-16-2012,22:00:00,1.05678,1.05738,1.05266,1.0553,37549
12-17-2012,22:00:00,1.0553,1.0558,1.05164,1.05351,38467
12-18-2012,22:00:00,1.05351,1.05362,1.04768,1.04821,42769
12-19-2012,22:00:00,1.04821,1.04997,1.04615,1.04842,47842
12-20-2012,22:00:00,1.04842,1.04871,1.03948,1.04061,51933
12-23-2012,22:00:00,1.04061,1.04165,1.03667,1.03694,22849
12-25-2012,22:00:00,1.03694,1.03864,1.03455,1.03765,25377
12-26-2012,22:00:00,1.03765,1.03893,1.0346,1.03795,34835
12-27-2012,22:00:00,1.03795,1.03962,1.03618,1.03763,34763
12-30-2012,22:00:00,1.03763,1.04091,1.0365,1.0394,26609
01-01-2013,22:00:00,1.0394,1.05239,1.0394,1.05037,49831
01-02-2013,22:00:00,1.05037,1.05276,1.04616,1.04672,46683
